CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L15311DL1993PLC052624,DFM FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-03-93,Delhi,150000000,100541760,15311,Manufacture of food products and beverages,"8377, ROSHANARA ROAD DELHI , Unclassified DL 110007",RoC-Delhi,dfm@dfmfoods.com,31-03-20,31-03-20
L15319DL1985PLC021348,FOCUS INDUSTRIAL RESOURCES LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-06-85,Delhi,125000000,121941990,15319,Manufacture of food products and beverages,"104 MUKAND HOUSECOMMERCIAL COMPLEX AZAPUR DELHI NEW DELHI , Unclassified DL 110033",RoC-Delhi,info@focuslimited.in,31-03-19,31-03-19
L15419DL1987PLC350285,MAHAAN FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-03-87,Delhi,200000000,35007000,15419,Manufacture of food products and beverages,"M-19, 1st Floor, M-Block Market, Greater Kailash-II New Delhi , South Delhi Unclassified DL 110048",RoC-Delhi,csmfl@mahaanfoods.com,31-03-20,31-03-20
L15421DL1952PLC354222,GOBIND SUGAR MILLS LTD.,Active,Public,Company limited by Shares,Non-govt company,18-08-52,Delhi,2000000000,44730470,15421,Manufacture of food products and beverages,"Birla Mill Complex, P.O. Birla Lines G T Road, Near Clock Tower Kamla Nagar , North Delhi Unclassified DL 110007",RoC-Delhi,ig.gsml@adventz.com,31-03-20,31-03-20
L15421DL1956PLC002652,BASTI SUGAR MILLS CO LTD,Amalgamated,Public,Company limited by Shares,Non-govt company,12-04-56,Delhi,100000000,82000000,15421,Manufacture of food products and beverages,"207, Essel House 10, Asaf Ali Road Delhi , Central Delhi Unclassified DL 110006",RoC-Delhi,prasad.upendra@gmail.com,31-03-12,31-03-12
L15421DL2002PLC118184,MAWANA SUGARS LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,26-12-02,Delhi,750000000,424680000,15421,Manufacture of food products and beverages,"6th Floor, Kirti Mahal, 19, Rajendra Place, New Delhi , Unclassified DL 110008",RoC-Delhi,secretarialdeptt@mawanasugars.com,30-09-06,30-09-06
L15491DL1985PLC019848,VISISTH CHAY VYAPAR LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-01-85,Delhi,200000000,199990000,15491,Manufacture of food products and beverages,"A-446, BASEMENT, DEFENCE COLONY NEW DELHI , Unclassified DL 110024",RoC-Delhi,visisthcvl17@gmail.com,31-03-20,31-03-20
L15500DL1994PLC153183,REGENT ENTERPRISES LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-07-94,Delhi,800000000,334563480,15500,Manufacture of food products and beverages,"E-205 (LGF) GREATER KAILASH-II NEW DELHI , South Delhi Unclassified DL 110048",RoC-Delhi,legal@regententerprises.in,31-03-20,31-03-20
L15511DL1985PLC021272,LACY LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-06-85,Delhi,78000000,77210000,15511,Manufacture of food products and beverages,"Flat No.211, Antriksh Bhawan 22 K. G. Marg, Connaught Place, New Delhi , New Delhi Unclassified DL 110001",RoC-Delhi,lacylimited2020@gmail.com,31-03-20,31-03-20
L15549DL1909PLC005478,HINDUSTAN BREWERIES AND BOTTLING LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-09-09,Delhi,60000000,59980250,15549,Manufacture of food products and beverages,"G-8, HOUSE NO 129, ROHINI, SECTOR 16 NEAR METRO RITHALA NURSARY PARK NEW DELHI , New Delhi Unclassified DL 110089",RoC-Delhi,ra_hindustan@yahoo.co.in,31-03-20,31-03-20
L15549DL1962PLC003726,JOHN OAKEY AND MOHAN LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-05-62,Delhi,10000000,4837800,15549,Manufacture of food products and beverages,"OFFICE NO-4,FF,CSC POCKET E MARKET, MAYUR VIHAR PHASE-II DELHI , East Delhi Unclassified DL 110091",RoC-Delhi,oakeymohan@gmail.com,31-03-20,31-03-20
L15549DL1981PLC012918,AMRIT INDIA LTD,Active,Public,Company limited by Shares,Non-govt company,29-12-81,Delhi,8650000,8550000,15549,Manufacture of food products and beverages,"202 2 COMMUNITYXNARAINAND NARAINAND NEW DELHI , Unclassified DL 110028",RoC-Delhi,anandmanoja@gmail.com,31-03-20,31-03-20
L17100DL1985PLC303047,SRM ENERGY LIMITED,Active,Public,Company limited by Shares,Non-govt company,03-09-85,Delhi,113000000,90600000,17100,Manufacture of textiles,"21 BASANT LOK COMPLEX VASANT VIHAR New Delhi , New Delhi Unclassified DL 110057",RoC-Delhi,cs@srmenergy.in,31-03-20,31-03-20
L17110DL1993PLC055487,RADHIKA SPINNING MILLS LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,04-10-93,Delhi,120000000,54052000,17110,Manufacture of textiles,"20/15, PATEL NAGAR WESTNEW DELHI NEW DELHI , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L17111DL1980PLC010814,SIDHARTHA SUPER SPINNING MILLS LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-08-80,Delhi,150000000,25000000,17111,Manufacture of textiles,"211 GAGAN DEEP BLD 12 RAJENDRA PLACE NEW DELHI , Unclassified DL 110008",RoC-Delhi,NA,NA,NA
L17111DL1982PLC013790,SHREE WORSTEX LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-06-82,Delhi,35000000,31400000,17111,Manufacture of textiles,"325, IIIrd Floor, Aggarwal Plaza, Sector-14, Rohini New Delhi , North East Unclassified DL 110085",RoC-Delhi,shreeworstex@gmail.com,31-03-20,31-03-19
L17111DL1986PLC024055,INDORAMA SYNTHETICS (INDIA)LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,28-04-86,Delhi,10000000,0,17111,Manufacture of textiles,"903, MOHANDEV BLDG. 13,TOLSTOY MARG N DELHI , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L17120DL1984PLC018729,FIBER PLUS INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,19-07-84,Delhi,32500000,32480000,17120,Manufacture of textiles,"A-19/ B-1 EXTENSION, MOHAN CO OPERATIVE IND ESTATE P.O. BADARPUR, MATHURA ROAD NEW DELHI , South Delhi Unclassified DL 110044",RoC-Delhi,cs@fiberplus.ae,31-03-20,31-03-16
L17120DL2007PLC163192,LORENZINI APPARELS LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-05-07,Delhi,102000000,101389160,17120,Manufacture of textiles,"C-64, OKHLA INDUSTRIAL AREA PHASE-I NEW DELHI , South Delhi Unclassified DL 110020",RoC-Delhi,lorenzini_apparels@yahoo.co.in,31-03-20,31-03-20
L17122DL1989PLC035050,SPORTKING INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,15-02-89,Delhi,250000000,133390000,17122,Manufacture of textiles,"5/69, GURU MANSION, PADAM SINGH ROAD, NEW DELHI , Unclassified DL 110005",RoC-Delhi,cs@sportking.co.in,31-03-20,31-03-20
L17122DL1996PLC332121,APLAYA CREATIONS LIMITED,Active,Public,Company limited by Shares,Non-govt company,05-06-96,Delhi,150000000,143800000,17122,Manufacture of textiles,"Unit No. DPT-208, 2ND FLOOR, DLF PRIME TOWERS, F-79-80 OKHLA INDUSTRIAL AREA, PHASE-1, NEW DELHI , South Delhi Unclassified DL 110020",RoC-Delhi,einsedutech@gmail.com,31-03-19,31-03-19
L17226DL1991PLC128367,IDEAL CARPETS LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-07-91,Delhi,75000000,57061870,17226,Manufacture of textiles,"C-4/118,SAFDARJUNG ENCLAVE, NEW DELHI , South Delhi Unclassified DL 110029",RoC-Delhi,idealcarpets@gmail.com,31-03-19,31-03-19
L17291DL2009PLC196375,AKM LACE AND EMBROTEX LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-11-09,Delhi,32000000,30121750,17291,Manufacture of textiles,"IX/6024, Ram Gali, Subhash Mohalla, Gandhi Nagar Delhi , East Delhi Unclassified DL 110031",RoC-Delhi,akmlace@gmail.com,31-03-20,31-03-20
L17299DL1983PLC163230,N K TEXTILE INDUSTRIES LTD,Active,Public,Company limited by Shares,Non-govt company,09-02-83,Delhi,15000000,8398320,17299,Manufacture of textiles,"OMAXE SQUARE, PLOT NO. 14, 5TH FLOOR JASOLA DISTRICT CENTRE, JASOLA, NEW DELHI-110025 NEW DELHI , South Delhi Unclassified DL 110025",RoC-Delhi,n.ktextiles123@gmail.com,31-03-20,31-03-19
L17299DL1994PLC062984,KOUTONS RETAIL INDIA LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,25-11-94,Delhi,1000000000,305513970,17299,Manufacture of textiles,"T-60/1, D.C.M. SCHOOL LANENEW ROHTAK ROAD KAROL BAGH,NEW DELHI NEW DELHI , Unclassified DL 000000",RoC-Delhi,info@csnitesh.com,31-03-12,31-03-12
L17300DL1995PLC107286,SRU STEELS LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-09-95,Delhi,95000000,79919000,17300,Manufacture of textiles,"A-48, 1st Floor Wazirpur Industrial Area Delhi , North West Unclassified DL 110052",RoC-Delhi,srusteels@yahoo.in,31-03-20,31-03-20
L17309DL2016PLC307204,DCM NOUVELLE LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-10-16,Delhi,200500000,186777490,17309,Manufacture of textiles,"407, VIKRANT TOWER 4 RAJENDRA PLACE NEW DELHI , Central Delhi Unclassified DL 110008",RoC-Delhi,dcmnouvelleltd@gmail.com,31-03-20,31-03-20
L18100DL1983PLC016354,A F ENTERPRISES LIMITED,Active,Public,Company limited by Shares,Non-govt company,18-08-83,Delhi,245000000,95136360,18100,Manufacture of wearing apparel; dressing and dyeing of fur,"DSM-334, DLF Towers Shivaji Marg, Delhi , Central Delhi Unclassified DL 110015",RoC-Delhi,info.afenterprises@gmail.com,31-03-20,31-03-20
L18101DL1970PLC005197,SRF LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-01-70,Delhi,3360000000,592452050,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"The Galleria, DLF Mayur Vihar, Unit No. 236 & 237 2nd Floor, Mayur Place, Mayur Vihar Phase I Extn. New Delhi , East Delhi Unclassified DL 110091",RoC-Delhi,cs@srf.com,31-03-20,31-03-20
L18101DL1978PLC009241,T T LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-09-78,Delhi,450000000,214981000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"879 MASTER PRITHVI NATH MARGKAROL BAGH NEW DELHI , Unclassified DL 110005",RoC-Delhi,newdelhi@ttlimited.co.in,31-03-20,31-03-20
L18101DL1984PLC019544,PALOMA KNITWEAR INTERNATIONAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,10-12-84,Delhi,1000000,70,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"3/6, D.B.GUPTA ROAD, PAHARGANJ, NEW DELHI , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L18101DL1986PLC025638,H-LON HOSIERY LTD.,Dissolved,Public,Company limited by Shares,Non-govt company,01-10-86,Delhi,110000000,0,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"C-4/1, WAZIRPUR INDL.AREA,MAINROAD,NEW DELHI-52 , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L18101DL1989PLC034528,RIBA TEXTILES LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-01-89,Delhi,151000000,96528700,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"DD-14,NEHRU ENCLAVE, OPP. KALKAJI POST OFFICE NEW DELHI , Unclassified DL 110019",RoC-Delhi,company.affairs@ribatextiles.com,31-03-20,31-03-20
L18101DL1989PLC269075,REGAL ENTERPRISES LTD,Active,Public,Company limited by Shares,Non-govt company,06-11-89,Delhi,35000000,31648000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"R-17a, 3rd Floor, 2nd Colony Raghubir Nagar, Near 25sq.Yds, Delhi , New Delhi Unclassified DL 110027",RoC-Delhi,regalenterpriseslimited@gmail.com,31-03-20,31-03-20
L18101DL2003PLC121698,AVSL INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-08-03,Delhi,60000000,53311200,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"UNIT NO. 1001, 10th Floor, NDM-2,WAZIRPUR DISTRICT CENTRE, NETAJI SUBHASH PLACE, PITAMPURA NEW DELHI , North West Unclassified DL 110034",RoC-Delhi,avslagricom@gmail.com,31-03-20,31-03-20
L18101DL2005PLC134879,INDOSOLAR LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-04-05,Delhi,10000000000,3720671000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"C-12 FRIENDS COLONY (EAST) NEW DELHI , Unclassified DL 110065",RoC-Delhi,ANANDAGARWAL49@GMAIL.COM,31-03-18,31-03-19
L19201DL1989PLC035728,VISHAL FOOTWEAR LIMITED,Active,Public,Company limited by Shares,Non-govt company,03-04-89,Delhi,50000000,28409000,19201,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","SHOP NO.123, PLOT NO.23 VARDAMAN CHARVE, PLAZA K.P.BLOCK COMM, COMPLEX PRITAMPUR NEW DELHI , New Delhi Unclassified DL 110034",RoC-Delhi,yaduka248@gmail.com,31-03-18,31-03-18
L20765DL1985PLC020765,MUNAK GALVA SHEETS LIMITED,Active,Public,Company limited by Shares,Non-govt company,24-04-85,Delhi,200000000,61142500,20765,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","42 COMMUNITY CENTRE FRIENDS COLONY N.DELHI , Unclassified DL 110065",RoC-Delhi,NA,NA,NA
L21011DL1974PLC241646,OMANSH ENTERPRISES LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-03-74,Delhi,35500000,35500000,21011,Manufacture of paper and paper products,"SHOP NO. QD-37, DDA MARKET, PITAMPURA NEW DELHI , North West Unclassified DL 110034",RoC-Delhi,omanshwork@gmail.com,31-03-18,31-03-18
L21012DL1972PLC279773,SHREE KRISHNA PAPER MILLS & INDUSTRIESLTD,Active,Public,Company limited by Shares,Non-govt company,14-09-72,Delhi,250000000,135216800,21012,Manufacture of paper and paper products,"4830/24, PRAHLAD STREET ANSARI ROAD, DARYA GANJ NEW DELHI , Central Delhi Unclassified DL 110002",RoC-Delhi,cs@skpmil.com,31-03-20,31-03-20
L21022DL1986PLC024750,BEST BOARD LIMITED,Dissolved,Public,Company limited by Shares,Non-govt company,08-07-86,Delhi,150000000,52926,21022,Manufacture of paper and paper products,"BHARAT YUVAK BHAWAN,I.JAISINGH ROAD N.DELHI. , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L21090DL1995PLC066281,B J DUPLEX BOARDS LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-03-95,Delhi,120000000,3766200,21090,Manufacture of paper and paper products,"H. NO. 83, T/F CHAWRI BAZAR, DELHI DELHI , North Delhi Unclassified DL 110006",RoC-Delhi,admin@anandpulp.com,31-03-20,31-03-20
L21093DL1980PLC010492,MAGNUM VENTURES LIMITED.,Active,Public,Company limited by Shares,Non-govt company,29-05-80,Delhi,690000000,376018840,21093,Manufacture of paper and paper products,"Street No. 3, Ansari Road Office No. 205, 2nd Floor, Building No.4326 Darya Ganj , Unclassified DL 110002",RoC-Delhi,magnumventures@gmail.com,31-03-20,31-03-20
L21093DL1992PLC116600,MOHIT PAPER MILLS LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-06-92,Delhi,175000000,140000000,21093,Manufacture of paper and paper products,"15A/13UPPER GROUND FLOOR EAST PATEL NAGAR NEW DELHI , Unclassified DL 110008",RoC-Delhi,mohit.paper@rediffmail.com,31-03-20,31-03-20
L21100DL1983PLC334800,ALCHEMIST REALTY LIMITED,Active,Public,Company limited by Shares,Non-govt company,03-03-83,Delhi,160000000,148202000,21100,Manufacture of paper and paper products,"Building 23,Nehru Place Delhi , New Delhi Unclassified DL 110019",RoC-Delhi,investors.realty@alchemist.co.in,31-03-19,31-03-19
L22100DL1990PLC039464,SHARPLINE BROADCAST LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-03-90,Delhi,115000000,115000000,22100,"Manufacture:Publishing, printing and reproduction of recorded media","37th Second Floor, Rani Jhansi Road Motia khan, Paharganj Delhi , Central Delhi Unclassified DL 110055",RoC-Delhi,sharplinebroadcastlimited@gmail.com,31-03-20,31-03-20
L22121DL2002PLC117874,HT MEDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,03-12-02,Delhi,725000000,465496628,22121,"Manufacture:Publishing, printing and reproduction of recorded media","18-20, KASTURBA GANDHI MARG, NEW DELHI , Unclassified DL 110001",RoC-Delhi,investor@hindustantimes.com,31-03-20,31-03-20
L22122DL1993PLC123728,ETT LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-11-93,Delhi,210000000,103686600,22122,"Manufacture:Publishing, printing and reproduction of recorded media","17 HEMKUNT COLONY NEW DELHI , Unclassified DL 110048",RoC-Delhi,secretarial@ettgroup.in,31-03-20,31-03-20
L22219DL1970PLC005400,S CHAND AND COMPANY LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-09-70,Delhi,200000000,174876435,22219,"Manufacture:Publishing, printing and reproduction of recorded media","A-27, 2nd Floor, Mohan Co-operative Industrial Estate, New Delhi , South Delhi Unclassified DL 110044",RoC-Delhi,jsingh.del@schandgroup.com,31-03-20,31-03-20
L22219DL1980PLC167850,SHREE JAGDAMBE PAPER MILLS LTD,Active,Public,Company limited by Shares,Non-govt company,31-07-80,Delhi,50000000,30004000,22219,"Manufacture:Publishing, printing and reproduction of recorded media","161, DEEPALI, GATE NO. 1, PITAMPURA DELHI , Unclassified DL 110034",RoC-Delhi,SJPM@REDIFFMAIL.COM,31-03-20,31-03-20
L22219DL1992PLC048398,CORAL NEWSPRINTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-04-92,Delhi,55000000,50527000,22219,"Manufacture:Publishing, printing and reproduction of recorded media","A-138VIKAS MARG SHAKARPUR NEW DELHI , East Delhi Unclassified DL 110092",RoC-Delhi,cnpl_5000@rediffmail.com,31-03-19,31-03-20
